sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
196,115,85,100,1953,1932,952
197,115,85,73,1950,1932,952
198,119,85,69,1950,1932,952
199,117,87,74,1948,1933,952
200,116,89,109,1950,1932,952
201,114,87,106,1950,1933,952
202,116,85,90,1949,1932,952
203,119,86,68,1951,1933,952
204,115,87,107,1951,1934,952
205,114,86,103,1951,1932,952
206,115,86,83,1948,1933,952
207,116,85,100,1950,1932,952
208,115,86,66,1951,1934,952
209,115,85,66,1948,1932,952
210,119,85,70,1950,1933,952
211,117,87,72,1951,1932,952
212,117,86,108,1952,1933,952
213,114,86,102,1950,1933,952
214,115,84,65,1951,1933,952
215,118,86,67,1950,1931,952
216,117,87,73,1950,1934,952
217,118,87,73,1951,1933,952
218,115,87,105,1951,1932,952
219,118,85,70,1950,1932,952
220,114,84,101,1952,1934,952
221,115,86,102,1951,1932,952
222,118,85,70,1950,1932,952
223,116,86,72,1950,1932,952
224,114,87,105,1951,1933,952
225,114,87,105,1951,1931,952
226,114,85,100,1951,1932,952
227,114,87,103,1951,1932,952
228,115,86,102,1950,1933,952
229,115,84,100,1949,1932,952
230,115,86,66,1950,1932,952
231,116,86,71,1949,1932,952
232,115,85,69,1949,1934,952
233,115,87,105,1951,1933,952
234,115,87,104,1951,1933,952
235,118,86,73,1949,1931,952
236,117,87,74,1948,1933,952
237,117,86,76,1952,1932,952
238,114,85,100,1951,1932,952
239,116,85,65,1950,1932,952
240,117,85,75,1949,1933,952
241,117,85,72,1950,1933,952
242,113,87,105,1951,1933,952
243,113,86,104,1950,1932,952
244,115,85,102,1952,1934,952
245,117,86,107,1951,1933,952
246,117,87,108,1951,1932,952
247,114,85,106,1951,1932,952
248,115,86,100,1952,1932,952
249,119,85,65,1951,1933,952
250,116,85,68,1951,1933,952
251,118,85,70,1950,1933,952
252,118,86,107,1954,1932,952
253,116,86,71,1949,1933,952
254,115,85,101,1951,1933,952
255,114,84,100,1952,1933,952
