foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_phase_capture start
FOC phase capture armed: 256 samples at 12kHz (~21.33ms), outputs remain DISABLED.
msh >
msh >
foc_phase_capture status
FOC phase capture state=complete rate=12000Hz samples=256/256 unread=256 window=21333us raw-only.
msh >
msh >
foc_phase_capture dump
FPV_HEADER,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
FPV,146,119,88,72,1949,1932,952
FPV,147,118,90,75,1948,1931,952
FPV,148,118,88,82,1952,1932,952
FPV,149,115,86,100,1952,1932,952
FPV,150,118,88,71,1950,1933,952
FPV,151,119,89,107,1952,1933,952
FPV,152,115,88,104,1952,1932,952
FPV,153,116,85,66,1950,1933,952
FPV,154,117,87,71,1950,1933,952
FPV,155,114,87,108,1950,1932,952
FPV,156,115,88,104,1950,1932,952
FPV,157,117,88,100,1952,1932,952
FPV,158,116,89,104,1951,1933,952
FPV,159,116,86,103,1951,1932,952
FPV,160,118,88,107,1952,1933,952
FPV,161,118,89,72,1951,1932,952
FPV,162,115,86,101,1952,1933,952
FPV,163,115,86,100,1950,1932,952
FPV,164,115,85,102,1951,1931,952
FPV,165,116,87,67,1948,1933,952
FPV,166,117,85,70,1950,1932,952
FPV,167,114,87,108,1950,1932,952
FPV,168,115,84,102,1950,1931,952
FPV,169,118,86,71,1951,1932,952
FPV,170,117,88,98,1952,1932,952
FPV,171,114,86,102,1951,1932,952
FPV,172,116,85,67,1950,1933,952
FPV,173,119,87,72,1949,1932,952
FPV,174,117,87,74,1950,1930,952
FPV,175,115,87,104,1951,1931,952
FPV,176,114,87,108,1950,1932,952
FPV,177,118,87,72,1951,1932,952
FPV,178,114,86,103,1FOC alive flags=0x0004231f sync=181355 steps=0 errors=0 Vbus=12275mV.
04231f sync=1FPV,179,117,87,71,1950,1932,952
FPV,180,115,83,102,1952,1933,952
FPV,181,117,87,72,1946,1933,952
FPV,182,114,87,104,1951,1933,952
FPV,183,117,87,73,1949,1932,952
FPV,184,113,87,107,1951,1932,952
FPV,185,119,87,68,1951,1931,952
FPV,186,116,87,108,1951,1931,952
FPV,187,119,88,109,1954,1932,952
FPV,188,117,88,107,1953,1932,952
FPV,189,117,87,80,1953,1931,952
FPV,190,118,85,68,1950,1932,952
FPV,191,118,85,67,1950,1932,952
FPV,192,115,86,66,1950,1931,952
FPV,193,115,85,64,1947,1932,952
FPV,194,113,84,101,1951,1933,952
FPV,195,115,85,65,1947,1933,952
FPV,196,114,85,86,1950,1932,952
FPV,197,119,86,68,1951,1932,952
FPV,198,115,84,98,1952,1932,952
FPV,199,115,85,102,1951,1932,952
FPV,200,114,86,103,1951,1933,952
FPV,201,113,85,104,1950,1932,952
FPV,202,116,85,72,1952,1933,952
FPV,203,117,85,68,1951,1932,952
FPV,204,114,85,103,1952,1932,952
FPV,205,118,87,73,1949,1931,952
FPV,206,114,84,96,1950,1932,952
FPV,207,116,87,105,1950,1931,952
FPV,208,115,85,74,1949,1933,952
FPV,209,117,87,73,1948,1931,952
FPV,210,113,84,101,1950,1932,952
FPV,211,115,85,89,1949,1933,952
FPV,212,117,87,72,1950,1932,952
FPV,213,115,85,64,1950,1933,952
FPV,214,117,87,74,1951,1933,952
FPV,215,119,85,69,1950,1933,952
FPV,216,113,84,99,1952,1933,952
FPV,217,115,87,104,1950,1932,952
FPV,218,116,87,100,1951,1933,952
FPV,219,113,86,107,1949,1932,952
FPV,220,116,86,99,1951,1931,952
FPV,221,116,87,106,1952,1932,952
FPV,222,116,87,72,1949,1932,952
FPV,223,113,85,104,1950,1932,952
FPV,224,115,84,102,1951,1933,952
FPV,225,116,84,66,1951,1931,952
FPV,226,116,84,69,1950,1933,952
FPV,227,117,85,72,1949,1931,952
FPV,228,116,87,72,1946,1932,952
FPV,229,116,85,71,1946,1933,952
FPV,230,116,83,66,1951,1932,952
FPV,231,114,85,64,1951,1933,952
FPV,232,114,84,98,1951,1934,952
FPV,233,113,84,68,1947,1932,952
FPV,234,113,83,100,1950,1932,952
FPV,235,113,86,105,1950,1933,952
FPV,236,118,85,67,1951,1933,952
FPV,237,113,83,99,1951,1933,952
FPV,238,115,84,72,1949,1932,952
FPV,239,116,84,70,1950,1933,952
FPV,240,115,83,66,1951,1933,952
FPV,241,117,83,66,1951,1932,952
FPV,242,114,84,91,1950,1931,952
FPV,243,113,83,67,1949,1932,952
FPV,244,113,82,98,1951,1932,952
FPV,245,116,83,64,1950,1931,952
FPV,246,114,83,94,1951,1931,952
FPV,247,113,83,97,1952,1933,952
FPV,248,113,84,101,1951,1932,952
FPV,249,113,85,104,1950,1931,952
FPV,250,115,83,69,1950,1931,952
FPV,251,115,85,71,1951,1932,952
FPV,252,115,83,68,1949,1932,952
FPV,253,115,85,70,1950,1932,952
FPV,254,115,83,64,1951,1932,952
FPV,255,115,82,64,1950,1933,952
msh >
msh >
foc_status
FOC state=uninitialized observer=rust-smo-pll reliable=0 closed=0 target=0rpm estimate=0rpm.
FOC Iref d/q=0/0mA I d/q=0/0mA V d/q=0/0mV.
FOC observer bemf a/b=0/0mV pllerr=0mrad speed mean/var=0/0 gate=0x00 streak=0 wait/loss=0/0ms vlim=0.
FOC flags=0x0004231f steps=0 errors=0 ISRmax=0/12500 cycles misses=0 peak=0 (~0mA).
FOC timing independent peaks pre/control/post=0/0/0 cycles; do not sum.
FOC rates PWM/control=12000/12000Hz ratio=1 delay=1 PWM ticks ADC trigger=1.
FOC sync interval last/min/avg/max=0/0/0/0 cycles (0 samples); monitor ISR=0/0/0 cycles.
FOC WCET step=0 total=0 pre/control/post=0/0/0 trace=0/0 samples=0 invalid=0.
FTIMING,1,0,0,0,0,0,0,0,0,0,0,0,0,12500,0,0,0,271135
FOC last status=0 rust_fault=0x00000000 duty=0/0/0 per-mille.
FOC boot-profile status=0 rev=1 board=0x43116001 motor=0x28041007 approvals=0x00 runtime/record CRC=0x8c7a8df4/0xd9f996c3.
FOC ADC U/V/W=1951/1932/1953 offsets=1951/1933/1952 Vbus=953 (~12288mV) Pot=2048.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
