divider_mode,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
off,0,384,339,324,1951,1933,0
off,1,384,340,359,1952,1934,0
off,2,382,338,355,1952,1934,0
off,3,384,338,323,1950,1933,0
off,4,382,341,357,1950,1932,0
off,5,383,341,356,1951,1932,0
off,6,382,338,353,1951,1934,0
off,7,384,339,323,1951,1933,0
off,8,384,340,326,1950,1933,0
off,9,383,340,356,1951,1933,0
off,10,385,339,323,1951,1933,0
off,11,383,340,357,1953,1934,0
off,12,381,339,355,1956,1933,0
off,13,382,338,321,1948,1932,0
off,14,384,339,322,1951,1933,0
off,15,386,341,323,1951,1933,0
off,16,383,340,351,1952,1932,0
off,17,384,340,358,1952,1933,0
off,18,381,338,355,1953,1934,0
off,19,381,339,355,1956,1934,0
off,20,383,338,334,1950,1934,0
off,21,384,339,323,1950,1933,0
off,22,381,340,357,1951,1932,0
off,23,382,340,356,1950,1932,0
off,24,383,339,323,1951,1933,0
off,25,384,340,325,1947,1933,0
off,26,381,338,336,1950,1931,0
off,27,385,338,323,1951,1933,0
off,28,383,340,357,1950,1932,0
off,29,382,338,355,1950,1933,0
off,30,384,339,322,1953,1934,0
off,31,384,339,322,1952,1932,0
off,32,384,340,359,1952,1933,0
off,33,382,340,354,1951,1932,0
off,34,384,340,325,1950,1933,0
off,35,383,341,358,1952,1932,0
off,36,381,338,354,1953,1933,0
off,37,384,338,323,1950,1933,0
off,38,384,340,357,1951,1933,0
off,39,383,339,328,1950,1933,0
off,40,384,341,354,1953,1933,0
off,41,381,339,355,1951,1933,0
off,42,385,339,324,1950,1933,0
off,43,383,339,359,1951,1933,0
off,44,384,338,325,1951,1932,0
off,45,381,339,356,1951,1933,0
off,46,382,340,358,1952,1933,0
off,47,382,338,354,1952,1933,0
off,48,384,340,324,1951,1932,0
off,49,384,339,358,1952,1933,0
off,50,382,339,322,1948,1931,0
off,51,384,338,324,1951,1933,0
off,52,382,341,357,1950,1932,0
off,53,380,339,356,1952,1932,0
off,54,382,338,320,1949,1932,0
off,55,384,341,323,1950,1932,0
off,56,381,340,357,1950,1932,0
off,57,382,339,355,1955,1932,0
off,58,384,340,324,1951,1932,0
off,59,383,340,357,1950,1933,0
off,60,385,340,323,1950,1933,0
off,61,382,338,354,1953,1934,0
off,62,385,341,324,1947,1933,0
off,63,381,340,356,1951,1932,0
off,64,384,339,325,1951,1932,0
off,65,381,340,356,1950,1931,0
off,66,384,338,323,1952,1933,0
off,67,384,341,325,1948,1932,0
off,68,382,338,355,1950,1933,0
off,69,385,339,322,1951,1933,0
off,70,382,340,358,1951,1933,0
off,71,381,339,356,1954,1932,0
off,72,384,341,324,1946,1933,0
off,73,382,337,356,1950,1931,0
off,74,385,340,325,1951,1933,0
off,75,381,340,356,1950,1933,0
off,76,384,338,322,1952,1932,0
off,77,382,338,320,1947,1933,0
off,78,383,340,324,1948,1932,0
off,79,385,339,324,1951,1933,0
off,80,384,340,324,1946,1932,0
off,81,383,340,357,1951,1933,0
off,82,385,340,323,1951,1933,0
off,83,384,339,322,1952,1933,0
off,84,385,340,325,1949,1932,0
off,85,384,340,357,1953,1934,0
off,86,383,340,359,1952,1934,0
off,87,385,340,360,1951,1933,0
off,88,384,341,324,1950,1932,0
off,89,383,339,356,1951,1933,0
off,90,382,340,358,1950,1933,0
off,91,382,339,321,1948,1933,0
off,92,384,341,358,1954,1934,0
off,93,382,339,356,1950,1933,0
off,94,385,340,324,1952,1933,0
off,95,382,340,357,1950,1933,0
off,96,385,338,324,1951,1934,0
off,97,382,340,358,1951,1933,0
off,98,384,340,325,1946,1933,0
off,99,382,339,356,1951,1933,0
off,100,384,340,359,1951,1933,0
off,101,384,339,321,1952,1933,0
off,102,382,339,355,1953,1933,0
off,103,384,340,323,1951,1934,0
off,104,382,340,357,1951,1933,0
off,105,382,339,320,1949,1932,0
off,106,382,340,356,1951,1933,0
off,107,384,338,322,1951,1933,0
off,108,381,339,355,1952,1933,0
off,109,384,339,322,1952,1934,0
off,110,384,343,358,1950,1933,0
off,111,383,338,354,1953,1933,0
off,112,385,340,324,1950,1932,0
off,113,383,340,357,1951,1933,0
off,114,384,340,325,1948,1932,0
off,115,382,341,356,1951,1933,0
off,116,386,339,324,1951,1932,0
off,117,382,340,357,1951,1933,0
off,118,382,339,325,1950,1933,0
off,119,384,341,324,1951,1932,0
off,120,384,339,323,1950,1934,0
off,121,382,339,355,1952,1934,0
off,122,384,340,324,1951,1932,0
off,123,382,338,355,1954,1933,0
off,124,382,340,356,1951,1932,0
off,125,384,339,323,1952,1934,0
off,126,382,340,320,1950,1932,0
off,127,381,340,357,1950,1932,0
off,128,383,341,356,1953,1932,0
off,129,383,338,322,1951,1933,0
off,130,382,339,355,1951,1932,0
off,131,385,339,323,1950,1933,0
off,132,384,339,321,1951,1933,0
off,133,383,340,359,1952,1934,0
off,134,384,340,335,1949,1933,0
off,135,384,338,322,1951,1933,0
off,136,381,339,356,1951,1933,0
off,137,385,339,324,1951,1933,0
off,138,385,339,323,1951,1934,0
off,139,382,338,354,1953,1933,0
off,140,382,341,357,1950,1933,0
off,141,384,341,325,1949,1932,0
off,142,385,338,324,1950,1932,0
off,143,386,339,321,1950,1932,0
off,144,382,339,355,1951,1932,0
off,145,384,340,359,1953,1932,0
off,146,383,339,321,1952,1933,0
off,147,383,340,350,1952,1933,0
off,148,385,339,322,1952,1933,0
off,149,384,340,341,1950,1932,0
off,150,384,339,324,1950,1933,0
off,151,384,340,354,1952,1933,0
off,152,381,338,338,1952,1932,0
off,153,385,340,324,1950,1933,0
off,154,384,339,358,1954,1933,0
off,155,384,340,358,1950,1933,0
off,156,382,339,355,1951,1933,0
off,157,382,338,355,1951,1932,0
off,158,382,339,325,1950,1933,0
off,159,382,339,321,1950,1931,0
off,160,386,339,322,1951,1933,0
off,161,385,339,322,1952,1933,0
off,162,385,338,321,1949,1932,0
off,163,383,339,320,1949,1932,0
