divider_mode,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
on,174,77,38,21,1950,1932,0
on,175,75,35,55,1952,1933,0
on,176,73,33,48,1955,1932,0
on,177,74,35,16,1947,1932,0
on,178,76,36,21,1950,1931,0
on,179,74,36,49,1952,1933,0
on,180,77,35,17,1951,1933,0
on,181,76,36,21,1951,1934,0
on,182,75,34,13,1951,1932,0
on,183,76,35,17,1950,1933,0
on,184,73,36,53,1950,1932,0
on,185,75,33,15,1952,1933,0
on,186,73,36,51,1951,1932,0
on,187,77,35,15,1951,1932,0
on,188,72,35,52,1950,1932,0
on,189,77,35,16,1951,1933,0
on,190,74,34,48,1951,1932,0
on,191,77,36,20,1947,1933,0
on,192,77,34,16,1952,1933,0
on,193,75,36,39,1953,1933,0
on,194,74,34,47,1954,1932,0
on,195,75,36,46,1952,1932,0
on,196,76,35,15,1951,1933,0
on,197,76,36,20,1947,1933,0
on,198,74,34,47,1952,1932,0
on,199,77,35,15,1952,1932,0
on,200,76,37,22,1949,1932,0
on,201,73,36,54,1950,1931,0
on,202,74,34,47,1952,1933,0
on,203,73,34,29,1950,1933,0
on,204,77,35,17,1950,1933,0
on,205,75,36,19,1951,1933,0
on,206,73,35,50,1952,1932,0
on,207,76,35,14,1952,1932,0
on,208,75,36,34,1954,1934,0
on,209,75,35,54,1951,1933,0
on,210,73,34,47,1953,1932,0
on,211,77,36,19,1951,1932,0
on,212,74,34,49,1951,1932,0
on,213,76,35,14,1952,1933,0
on,214,76,36,32,1952,1932,0
on,215,73,34,49,1951,1932,0
on,216,77,35,19,1950,1933,0
on,217,74,36,55,1950,1933,0
on,218,77,35,16,1952,1932,0
on,219,75,36,21,1953,1933,0
on,220,74,35,28,1948,1931,0
on,221,77,35,14,1952,1933,0
on,222,76,36,19,1951,1933,0
on,223,75,36,55,1952,1933,0
on,224,77,36,15,1952,1932,0
on,225,75,36,55,1952,1934,0
on,226,74,34,49,1951,1934,0
on,227,73,34,47,1953,1933,0
on,228,77,35,18,1950,1932,0
on,229,75,36,19,1952,1932,0
on,230,73,36,51,1950,1933,0
on,231,74,34,47,1953,1932,0
on,232,77,34,14,1951,1933,0
on,233,77,36,18,1951,1933,0
on,234,73,36,49,1952,1932,0
on,235,77,35,17,1951,1933,0
on,236,76,37,53,1953,1933,0
on,237,74,36,54,1950,1932,0
on,238,77,35,18,1950,1933,0
on,239,77,35,19,1950,1932,0
on,240,77,36,19,1951,1933,0
on,241,74,34,46,1951,1931,0
on,242,73,33,47,1955,1933,0
on,243,75,35,40,1950,1934,0
on,244,76,36,19,1951,1933,0
on,245,74,36,55,1951,1933,0
on,246,75,34,47,1951,1932,0
on,247,74,34,47,1949,1933,0
on,248,77,37,18,1951,1933,0
on,249,75,36,26,1952,1933,0
on,250,73,34,48,1956,1933,0
on,251,76,35,15,1952,1932,0
on,252,72,35,54,1949,1933,0
on,253,74,36,49,1951,1933,0
on,254,74,35,13,1951,1932,0
on,255,76,35,17,1951,1933,0
