divider_mode,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
off,174,385,339,322,1951,1933,0
off,175,382,340,356,1951,1931,0
off,176,382,339,355,1951,1933,0
off,177,383,338,355,1950,1932,0
off,178,382,338,356,1951,1933,0
off,179,382,341,357,1951,1933,0
off,180,384,340,323,1950,1933,0
off,181,384,338,321,1951,1933,0
off,182,382,340,358,1949,1932,0
off,183,384,338,324,1950,1931,0
off,184,382,339,355,1951,1932,0
off,185,384,340,323,1951,1932,0
off,186,382,340,358,1950,1932,0
off,187,383,339,320,1951,1933,0
off,188,385,339,359,1951,1933,0
off,189,386,339,324,1951,1933,0
off,190,381,339,354,1952,1934,0
off,191,382,338,355,1951,1933,0
off,192,385,339,322,1950,1933,0
off,193,381,339,354,1952,1933,0
off,194,382,340,357,1950,1932,0
off,195,382,338,354,1950,1933,0
off,196,382,338,354,1954,1933,0
off,197,385,341,324,1950,1932,0
off,198,384,340,346,1952,1932,0
off,199,382,339,355,1954,1933,0
off,200,385,339,321,1952,1933,0
off,201,382,340,359,1950,1933,0
off,202,381,339,353,1952,1932,0
off,203,384,340,358,1954,1934,0
off,204,382,338,355,1951,1933,0
off,205,385,338,321,1950,1931,0
off,206,385,342,323,1951,1932,0
off,207,385,340,326,1951,1934,0
off,208,385,341,324,1951,1933,0
off,209,384,340,324,1952,1932,0
off,210,384,340,325,1950,1931,0
off,211,384,341,359,1952,1933,0
off,212,384,340,356,1953,1933,0
off,213,381,338,356,1952,1933,0
off,214,382,338,355,1950,1932,0
off,215,382,339,320,1950,1932,0
off,216,383,339,320,1950,1932,0
off,217,384,339,323,1950,1932,0
off,218,384,341,326,1950,1933,0
off,219,384,340,358,1953,1932,0
off,220,384,341,359,1952,1933,0
off,221,382,340,357,1951,1932,0
off,222,382,338,356,1951,1933,0
off,223,383,339,321,1951,1932,0
off,224,383,339,336,1950,1932,0
off,225,381,339,321,1950,1931,0
off,226,386,339,321,1950,1933,0
