divider_mode,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
on,0,87,52,71,1952,1933,1
on,1,75,35,49,1951,1934,1
on,2,75,35,47,1951,1932,1
on,3,77,36,19,1950,1933,1
on,4,76,37,20,1951,1933,1
on,5,74,36,52,1951,1932,1
on,6,74,35,49,1950,1933,1
on,7,77,36,18,1951,1932,1
on,8,75,36,25,1952,1932,1
on,9,74,34,48,1951,1932,1
on,10,74,35,50,1951,1933,1
on,11,74,36,52,1951,1933,1
on,12,76,37,20,1947,1932,1
on,13,77,35,18,1952,1934,1
on,14,73,35,13,1951,1932,1
on,15,77,36,19,1951,1932,1
on,16,76,35,18,1951,1933,1
on,17,76,35,54,1952,1933,1
on,18,73,35,50,1951,1931,1
on,19,73,33,47,1953,1932,1
on,20,74,34,31,1949,1932,1
on,21,74,34,22,1948,1932,1
on,22,72,35,54,1950,1932,1
on,23,75,36,55,1952,1932,1
on,24,76,35,19,1951,1933,1
on,25,77,35,16,1951,1933,1
on,26,74,34,48,1951,1933,1
on,27,73,35,50,1951,1932,1
on,28,73,36,54,1951,1932,1
on,29,72,35,52,1950,1932,1
on,30,73,36,53,1950,1933,1
on,31,73,36,51,1951,1932,1
on,32,75,36,55,1952,1934,1
on,33,74,36,53,1950,1933,1
on,34,75,36,55,1953,1932,1
on,35,74,36,52,1951,1933,1
on,36,72,35,51,1951,1932,1
on,37,74,34,48,1951,1933,1
on,38,74,34,38,1949,1932,1
on,39,74,35,13,1950,1931,1
on,40,73,34,49,1951,1933,1
on,41,73,34,47,1955,1932,1
on,42,74,34,47,1954,1934,1
on,43,74,34,47,1953,1934,1
on,44,74,36,54,1950,1932,1
on,45,78,35,18,1950,1934,1
on,46,73,33,48,1951,1933,1
on,47,72,35,50,1952,1932,1
on,48,75,35,54,1950,1932,1
on,49,73,36,52,1950,1932,1
on,50,76,36,53,1953,1933,1
on,51,72,35,52,1950,1932,1
on,52,75,36,28,1952,1932,1
on,53,76,35,18,1951,1933,1
on,54,74,35,47,1951,1932,1
on,55,73,33,49,1952,1933,1
on,56,76,36,19,1951,1931,1
on,57,77,35,16,1951,1933,1
on,58,73,33,47,1955,1933,1
on,59,73,34,50,1951,1932,1
on,60,75,35,44,1952,1933,1
on,61,75,35,50,1954,1933,1
on,62,75,35,55,1952,1933,1
on,63,72,36,54,1952,1933,1
on,64,77,36,19,1951,1932,1
on,65,77,35,14,1952,1933,1
on,66,74,35,47,1954,1934,1
on,67,73,35,50,1952,1933,1
on,68,75,35,49,1954,1932,1
on,69,75,36,43,1952,1933,1
on,70,76,35,17,1949,1932,1
on,71,75,34,14,1952,1933,1
on,72,73,35,50,1952,1933,1
on,73,73,35,51,1950,1932,1
on,74,76,36,54,1952,1932,1
on,75,75,36,51,1954,1933,1
on,76,76,36,19,1951,1933,1
on,77,77,35,16,1951,1933,1
on,78,72,34,48,1952,1933,1
on,79,74,33,47,1954,1933,1
on,80,73,34,48,1954,1934,1
on,81,73,34,13,1949,1932,1
on,82,73,36,52,1952,1933,1
on,83,75,36,21,1952,1935,1
on,84,75,35,48,1951,1933,1
on,85,72,35,53,1950,1933,1
on,86,76,35,19,1951,1933,1
on,87,77,35,16,1952,1933,1
on,88,72,34,21,1949,1932,1
on,89,73,34,48,1953,1935,1
on,90,73,34,48,1951,1932,1
on,91,72,34,48,1953,1932,1
on,92,74,36,54,1950,1933,1
on,93,75,36,21,1949,1931,1
on,94,76,34,17,1951,1934,1
on,95,76,35,16,1951,1932,1
on,96,74,35,50,1951,1933,1
on,97,72,35,50,1952,1933,1
on,98,75,36,20,1949,1931,1
on,99,76,36,19,1951,1932,1
on,100,73,33,13,1948,1932,1
on,101,73,33,48,1955,1933,1
on,102,75,35,54,1951,1932,1
on,103,75,35,19,1950,1932,1
on,104,73,35,53,1950,1932,1
on,105,75,34,16,1950,1932,1
on,106,74,33,49,1951,1933,1
on,107,76,35,17,1951,1932,1
on,108,74,34,49,1952,1932,1
on,109,74,33,47,1951,1934,1
on,110,72,33,47,1954,1933,1
on,111,77,35,18,1951,1933,1
on,112,75,36,20,1946,1932,1
on,113,73,36,54,1950,1934,1
on,114,75,35,24,1952,1933,1
on,115,75,35,43,1952,1934,1
on,116,76,35,19,1951,1933,1
on,117,76,37,20,1951,1933,1
on,118,77,35,18,1950,1932,1
on,119,76,36,50,1955,1934,1
on,120,76,38,19,1950,1933,1
on,121,76,35,18,1951,1932,1
on,122,72,34,13,1950,1932,1
on,123,73,34,13,1950,1932,1
on,124,74,34,48,1951,1933,1
on,125,73,35,48,1951,1932,1
on,126,72,35,51,1952,1933,1
on,127,73,35,48,1951,1933,1
on,128,74,34,47,1949,1931,1
on,129,77,35,18,1951,1932,1
on,130,77,37,20,1951,1932,1
on,131,76,35,23,1952,1933,1
on,132,75,36,50,1952,1932,1
on,133,75,36,49,1953,1933,1
on,134,77,35,17,1951,1933,1
on,135,76,34,15,1951,1933,1
on,136,73,34,49,1951,1933,1
on,137,72,35,51,1951,1931,1
on,138,76,37,22,1949,1932,1
on,139,77,35,19,1951,1932,1
on,140,74,34,50,1951,1932,1
on,141,75,36,55,1951,1932,1
on,142,75,36,21,1951,1934,1
on,143,73,36,54,1950,1934,1
on,144,76,36,21,1949,1932,1
