divider_mode,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
on,174,76,37,55,1952,1933,0
on,175,76,37,21,1950,1933,0
on,176,75,37,22,1952,1932,0
on,177,77,35,13,1951,1933,0
on,178,73,35,50,1951,1933,0
on,179,74,36,55,1950,1932,0
on,180,73,36,52,1951,1932,0
on,181,76,36,47,1954,1934,0
on,182,77,37,21,1950,1931,0
on,183,77,35,16,1951,1933,0
on,184,75,34,48,1951,1932,0
on,185,75,36,55,1951,1933,0
on,186,73,36,53,1951,1931,0
on,187,77,35,17,1950,1932,0
on,188,73,34,48,1954,1934,0
on,189,76,37,40,1952,1932,0
on,190,76,36,20,1951,1933,0
on,191,74,36,18,1949,1933,0
on,192,73,35,54,1951,1932,0
on,193,74,36,48,1955,1932,0
on,194,76,36,41,1953,1933,0
on,195,75,35,14,1952,1933,0
on,196,76,35,15,1952,1933,0
on,197,74,34,48,1951,1932,0
on,198,72,35,52,1951,1933,0
on,199,77,36,19,1951,1933,0
on,200,75,35,13,1950,1932,0
on,201,76,38,21,1953,1933,0
on,202,76,35,17,1951,1933,0
on,203,77,35,19,1951,1933,0
on,204,76,37,56,1951,1933,0
on,205,75,36,56,1952,1933,0
on,206,73,36,54,1951,1933,0
on,207,76,35,14,1952,1933,0
on,208,73,34,51,1951,1933,0
on,209,75,35,14,1951,1933,0
on,210,72,35,51,1951,1933,0
on,211,76,36,35,1953,1933,0
on,212,73,36,52,1951,1933,0
on,213,74,36,53,1950,1933,0
on,214,76,36,44,1954,1933,0
on,215,77,36,20,1951,1933,0
on,216,76,36,51,1954,1933,0
on,217,75,36,20,1949,1932,0
on,218,73,36,54,1950,1932,0
on,219,75,36,55,1952,1934,0
on,220,72,36,52,1951,1933,0
on,221,73,33,50,1952,1933,0
on,222,74,33,47,1953,1932,0
on,223,73,36,51,1952,1933,0
on,224,74,36,50,1951,1933,0
on,225,74,35,49,1951,1933,0
on,226,77,35,18,1950,1933,0
on,227,76,36,18,1950,1932,0
on,228,73,36,52,1951,1933,0
on,229,74,34,49,1951,1933,0
on,230,76,36,19,1951,1933,0
on,231,76,36,29,1952,1933,0
on,232,74,34,46,1951,1932,0
on,233,77,35,15,1953,1933,0
on,234,74,35,54,1950,1934,0
on,235,74,37,55,1951,1933,0
on,236,73,35,51,1952,1932,0
on,237,74,36,51,1951,1932,0
on,238,77,35,14,1952,1933,0
on,239,76,35,19,1951,1933,0
on,240,76,34,18,1950,1932,0
on,241,76,34,18,1950,1933,0
on,242,75,36,47,1954,1933,0
on,243,77,36,21,1949,1932,0
on,244,76,36,53,1952,1931,0
on,245,76,35,51,1954,1933,0
on,246,76,36,49,1952,1933,0
on,247,77,35,15,1952,1933,0
on,248,74,35,49,1955,1933,0
on,249,76,36,18,1950,1932,0
on,250,73,34,13,1951,1933,0
on,251,73,35,53,1950,1931,0
on,252,75,35,20,1951,1934,0
on,253,76,36,38,1953,1933,0
on,254,73,36,54,1951,1933,0
on,255,73,33,49,1953,1933,0
