foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_phase_capture start off
FOC phase capture armed: divider=off, 256 samples at 12kHz (~21.33ms), outputs remain DISABLED.
msh >
msh >
foc_phase_capture status
FOC phase capture state=complete capture-divider=off rate=12000Hz samples=256/256 unread=256 window=21333us raw-only.
msh >
msh >
foc_phase_capture dump
FPV_META,divider=off
FPV_HEADER,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
FPV,0,385,338,323,1952,1933,1
FPV,1,381,340,356,1952,1933,1
FPV,2,381,338,354,1952,1932,1
FPV,3,384,338,324,1951,1932,1
FPV,4,384,339,328,1951,1933,1
FPV,5,381,338,354,1951,1932,1
FPV,6,386,339,323,1951,1933,1
FPV,7,381,339,355,1951,1933,1
FPV,8,385,341,324,1951,1933,1
FPV,9,382,339,323,1950,1934,1
FPV,10,381,339,321,1948,1932,1
FPV,11,384,340,342,1952,1932,1
FPV,12,381,339,356,1952,1933,1
FPV,13,384,339,321,1952,1933,1
FPV,14,385,339,323,1950,1933,1
FPV,15,385,339,324,1950,1932,1
FPV,16,385,340,324,1951,1933,1
FPV,17,382,340,356,1951,1932,1
FPV,18,382,338,355,1951,1934,1
FPV,19,385,339,323,1950,1932,1
FPV,20,384,339,321,1952,1934,1
FPV,21,384,338,321,1951,1932,1
FPV,22,381,338,354,1951,1933,1
FPV,23,380,340,357,1951,1933,1
FPV,24,384,339,323,1951,1933,1
FPV,25,384,339,322,1951,1933,1
FPV,26,382,337,354,1955,1933,1
FPV,27,381,337,354,1954,1934,1
FPV,28,381,339,355,1951,1933,1
FPV,29,384,338,321,1951,1932,1
FPV,30,382,339,321,1952,1932,1
FPV,31,385,339,321,1952,1932,1
FPV,32,380,337,354,1955,1933,1
FPV,33,381,339,319,1951,1932,1
FPV,34,382,338,337,1949,1933,1
FPV,35,383,339,358,1952,1933,1
FPV,36,382,338,337,1949,1931,1
FPV,37,380,339,356,1950,1932,1
FPV,38,384,340,323,1951,1933,1
FPV,39,385,338,322,1951,1933,1
FPV,40,381,337,354,1953,1933,1
FPV,41,384,340,356,1953,1932,1
FPV,42,381,337,320,1951,1933,1
FPV,43,382,339,358,1950,1932,1
FPV,44,382,338,338,1950,1931,1
FPV,45,383,340,359,1953,1934,1
FPV,46,381,340,355,1951,1933,1
FPV,47,384,339,328,1951,1934,1
FPV,48,382,337,355,1951,1933,1
FPV,49,384,338,321,1951,1933,1
FPV,50,383,339,323,1953,1933,1
FPV,51,384,340,358,1952,1933,1
FPV,52,384,340,359,1954,1932,1
FPV,53,382,339,356,1951,1933,1
FPV,54,382,339,355,1951,1932,1
FPV,55,385,338,323,1951,1933,1
FPV,56,385,338,322,1951,1933,1
FPV,57,381,340,359,1952,1933,1
FPV,58,382,339,355,1951,1932,1
FPV,59,385,338,323,1950,1932,1
FPV,60,384,340,357,1952,1932,1
FPV,61,382,339,354,1952,1936,1
FPV,62,382,339,325,1949,1933,1
FPV,63,383,340,333,1952,1934,1
FPV,64,381,337,355,1950,1932,1
FPV,65,384,338,323,1951,1933,1
FPV,66,383,339,359,1951,1932,1
FPV,67,382,338,355,1951,1933,1
FPV,68,384,338,321,1951,1933,1
FPV,69,384,340,358,1954,1933,1
FPV,70,384,340,359,1952,1934,1
FPV,71,382,339,354,1950,1934,1
FPV,72,384,338,323,1951,1933,1
FPV,73,382,339,355,1957,1933,1
FPV,74,384,338,322,1951,1932,1
FPV,75,384,339,358,1955,1934,1
FPV,76,381,340,356,1950,1933,1
FPV,77,383,338,343,1950,1933,1
FPV,78,383,338,321,1951,1933,1
FPV,79,383,339,324,1949,1931,1
FPV,80,382,340,357,1950,1933,1
FPV,81,384,338,323,1951,1933,1
FPV,82,384,339,360,1952,1933,1
FPV,83,382,339,354,1955,1932,1
FPV,84,382,338,355,1951,1933,1
FPV,85,382,339,355,1953,1933,1
FPV,86,381,339,354,1953,1934,1
FPV,87,385,338,323,1951,1933,1
FPV,88,385,339,322,1950,1932,1
FPV,89,384,341,324,1951,1933,1
FPV,90,385,339,323,1951,1932,1
FPV,91,383,340,357,1950,1932,1
FPV,92,382,340,355,1952,1933,1
FPV,93,383,339,320,1951,1933,1
FPV,94,385,339,321,1951,1932,1
FPV,95,385,340,325,1949,1933,1
FPV,96,385,339,324,1950,1932,1
FPV,97,383,340,348,1953,1933,1
FPV,98,384,340,356,1954,1934,1
FPV,99,381,339,357,1950,1932,1
FPV,100,383,341,359,1952,1933,1
FPV,101,381,339,357,1950,1932,1
FPV,102,385,340,331,1952,1933,1
FPV,103,382,340,357,1951,1933,1
FPV,104,384,341,325,1949,1932,1
FPV,105,383,339,346,1950,1934,1
FPV,106,384,339,323,1951,1933,1
FPV,107,383,339,321,1951,1933,1
FPV,108,382,340,359,1951,1933,1
FPV,109,384,341,325,1952,1932,1
FPV,110,382,339,328,1949,1933,1
FPV,111,381,339,355,1953,1933,1
FPV,112,384,340,358,1953,1932,1
FPV,113,385,338,324,1951,1933,1
FPV,114,382,338,355,1953,1932,1
FPV,115,383,338,356,1951,1934,1
FPV,116,384,340,351,1952,1931,1
FPV,117,384,340,359,1952,1932,1
FPV,118,382,339,330,1948,1931,1
FPV,119,384,340,349,1953,1933,1
FPV,120,382,338,354,1955,1934,1
FPV,121,383,340,359,1950,1934,1
FPV,122,383,339,320,1950,1931,1
FPV,123,382,340,356,1950,1932,1
FPV,124,385,340,324,1949,1933,1
FPV,125,385,339,321,1951,1934,1
FPV,126,383,340,359,1951,1933,1
FPV,127,383,339,325,1948,1933,1
FPV,128,383,339,321,1952,1933,1
FPV,129,382,340,359,1951,1933,1
FPV,130,382,339,321,1950,1932,1
FPV,131,381,340,358,1951,1933,1
FPV,132,386,339,322,1950,1933,1
FPV,133,383,339,355,1954,1933,1
FPV,134,384,341,327,1950,1933,1
FPV,135,386,339,322,1951,1934,1
FPV,136,382,339,325,1949,1934,1
FPV,137,386,339,323,1951,1933,1
FPV,138,384,338,323,1950,1932,1
FPV,139,383,340,359,1951,1934,1
FPV,140,381,339,355,1951,1932,1
FPV,141,385,338,321,1950,1933,1
FPV,142,385,338,323,1950,1933,1
FPV,143,384,341,325,1948,1931,1
FPV,144,385,341,325,1947,1932,1
FPV,145,385,340,324,1950,1932,1
FPV,146,384,339,321,1952,1934,1
FPV,147,385,342,324,1951,1933,1
FPV,148,384,339,324,1951,1932,1
FPV,149,384,340,359,1951,1933,1
FPV,150,385,340,324,1951,1932,1
FPV,151,382,340,359,1951,1932,1
FPV,152,384,340,324,1948,1931,1
FPV,153,384,340,324,1951,1933,1
FPV,154,386,339,322,1950,1933,1
FPV,155,384,340,356,1952,1931,1
FPV,156,386,340,325,1949,1931,1
FPV,157,384,340,326,1952,1933,1
FPV,158,384,340,324,1951,1932,1
FPV,159,385,340,325,1949,1931,1
FPV,160,384,339,358,1951,1933,1
FPV,161,383,339,355,1951,1932,1
FPV,162,382,339,320,1947,1932,1
FPV,163,383,340,358,1949,1933,1
FPV,164,383,339,322,1952,1933,1
FPV,165,384,339,359,1951,1933,1
FPV,166,381,340,359,1952,1934,1
FPV,167,382,339,355,1952,1935,1
FPV,168,382,339,320,1949,1932,1
FPV,169,384,341,350,1954,1933,1
FPV,170,381,339,356,1951,1931,1
FPV,171,384,339,322,1951,1933,1
FPV,172,382,339,320,1949,1932,1
FPV,173,381,337,356,1952,1933,1
FPV,174,385,340,344,1951,1932,1
FPV,175,381,337,355,1951,1932,1
FPV,176,383,341,357,1950,1932,1
FPV,177,382,340,356,1951,1933,1
FPV,178,382,340,358,1950,1932,1
FPV,179,385,341,325,1951,1934,1
FPV,180,382,339,356,1951,1932,1
FPV,181,384,341,352,1952,1932,1
FPV,182,384,338,320,1950,1933,1
FPV,183,382,340,357,1950,1933,1
FPV,184,382,339,320,1950,1933,1
FPV,185,382,340,358,1950,1932,1
FPV,186,382,339,356,1951,1933,1
FPV,187,384,339,323,1951,1933,1
FPV,188,382,340,357,1950,1933,1
FPV,189,385,339,323,1951,1933,1
FPV,190,382,339,329,1949,1933,1
FPV,191,383,339,355,1951,1933,1
FPV,192,384,340,358,1952,1933,1
FPV,193,384,340,325,1949,1932,1
FPV,194,381,339,354,1952,1934,1
FPV,195,381,338,354,1953,1932,1
FPV,196,382,339,354,1951,1934,1
FPV,197,384,339,322,1951,1933,1
FPV,198,385,339,323,1950,1933,1
FPV,199,384,340,354,1952,1932,1
FPV,200,384,339,359,1951,1932,1
FPV,201,383,338,355,1951,1933,1
FPV,202,381,338,356,1950,1933,1
FPV,203,385,339,323,1950,1933,1
FPV,204,384,340,349,1951,1932,1
FPV,205,382,338,355,1951,1932,1
FPV,206,382,339,320,1950,1932,1
FPV,207,383,340,352,1952,1932,1
FPV,208,381,339,356,1952,1933,1
FPV,209,385,338,323,1951,1933,1
FPV,210,384,339,346,1953,1933,1
FPV,211,382,339,320,1950,1931,1
FPV,212,384,340,324,1951,1932,1
FPV,213,383,341,358,1950,1932,1
FPV,214,383,340,358,1952,1932,1
FPV,215,382,340,356,1951,1932,1
FPV,216,382,337,354,1953,1933,1
FPV,217,384,338,321,1951,1934,1
FPV,218,386,339,321,1952,1933,1
FPV,219,384,340,323,1951,1932,1
FPV,220,384,340,326,1948,1932,1
FPV,221,382,339,321,1951,1931,1
FPV,222,384,340,323,1951,1933,1
FPV,223,383,338,354,1954,1932,1
FPV,224,383,340,344,1952,1933,1
FPV,225,383,340,350,1952,1933,1
FPV,226,384,339,320,1952,1932,1
FPV,227,381,338,329,1949,1933,1
FPV,228,382,340,357,1950,1933,1
FPV,229,382,340,355,1951,1932,1
FPV,230,381,340,357,1952,1933,1
FPV,231,382,339,352,1952,1933,1
FPV,232,382,340,356,1951,1933,1
FPV,233,382,340,356,1951,1931,1
FPV,234,382,340,357,1951,1932,1
FPV,235,383,340,321,1950,1932,1
FPV,236,381,338,319,1949,1931,1
FPV,237,384,341,324,1947,1932,1
FPV,238,385,339,324,1950,1933,1
FPV,239,383,340,357,1950,1932,1
FPV,240,381,340,357,1952,1933,1
FPV,241,385,338,321,1951,1933,1
FPV,242,384,341,324,1952,1932,1
FPV,243,384,341,351,1952,1932,1
FPV,244,382,340,359,1951,1933,1
FPV,245,382,339,354,1953,1933,1
FPV,246,381,338,342,1952,1933,1
FPV,247,384,338,320,1951,1932,1
FPV,248,382,340,359,1950,1932,1
FPV,249,385,339,323,1950,1932,1
FPV,250,383,336,355,1951,1932,1
FPV,251,384,340,324,1951,1933,1
FPV,252,383,340,355,1955,1932,1
FPV,253,382,340,357,1951,1933,1
FPV,254,386,338,322,1951,1933,1
FPV,255,383,339,326,1948,1932,1
msh >
msh >
FOC alive flags=0x0004231f sync=781984 steps=0 errors=0 Vbus=13mV.
foc_status
FOC state=uninitialized observer=rust-smo-pll reliable=0 closed=0 target=0rpm estimate=0rpm.
FOC Iref d/q=0/0mA I d/q=0/0mA V d/q=0/0mV.
FOC observer bemf a/b=0/0mV pllerr=0mrad speed mean/var=0/0 gate=0x00 streak=0 wait/loss=0/0ms vlim=0.
FOC flags=0x0004231f steps=0 errors=0 ISRmax=0/12500 cycles misses=0 peak=0 (~0mA).
FOC timing independent peaks pre/control/post=0/0/0 cycles; do not sum.
FOC rates PWM/control=12000/12000Hz ratio=1 delay=1 PWM ticks ADC trigger=1.
FOC sync interval last/min/avg/max=0/0/0/0 cycles (0 samples); monitor ISR=0/0/0 cycles.
FOC WCET step=0 total=0 pre/control/post=0/0/0 trace=0/0 samples=0 invalid=0.
FTIMING,1,0,0,0,0,0,0,0,0,0,0,0,0,12500,0,0,0,271135
FOC last status=0 rust_fault=0x00000000 duty=0/0/0 per-mille.
FOC boot-profile status=0 rev=1 board=0x43116001 motor=0x28041007 approvals=0x00 runtime/record CRC=0x8c7a8df4/0xd9f996c3.
FOC ADC U/V/W=1950/1932/1956 offsets=1952/1933/1953 Vbus=0 (~0mV) Pot=2048.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
