foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_phase_capture start on
FOC phase capture armed: divider=on, 256 samples at 12kHz (~21.33ms), outputs remain DISABLED.
msh >
msh >
foc_phase_capture status
FOC phase capture state=complete capture-divider=on rate=12000Hz samples=256/256 unread=256 window=21333us raw-only.
msh >
msh >
foc_phase_capture dump
FPV_META,divider=on
FPV_HEADER,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
FPV,0,86,50,66,1951,1932,0
FPV,1,74,35,48,1953,1932,0
FPV,2,75,36,20,1949,1933,0
FPV,3,74,35,49,1950,1933,0
FPV,4,73,36,53,1950,1932,0
FPV,5,78,35,17,1951,1933,0
FPV,6,73,35,49,1951,1933,0
FPV,7,76,35,16,1951,1933,0
FPV,8,73,34,48,1952,1932,0
FPV,9,76,34,14,1951,1933,0
FPV,10,74,36,54,1950,1933,0
FPV,11,73,34,49,1952,1933,0
FPV,12,76,35,15,1952,1933,0
FPV,13,76,36,18,1951,1932,0
FPV,14,73,35,54,1951,1932,0
FPV,15,73,34,48,1951,1932,0
FPV,16,76,35,15,1952,1933,0
FPV,17,77,37,19,1951,1934,0
FPV,18,72,35,51,1951,1932,0
FPV,19,73,32,49,1952,1933,0
FPV,20,75,34,13,1952,1933,0
FPV,21,77,35,16,1951,1933,0
FPV,22,75,35,20,1949,1932,0
FPV,23,72,35,52,1950,1932,0
FPV,24,75,36,14,1952,1933,0
FPV,25,76,34,17,1950,1933,0
FPV,26,73,35,53,1951,1933,0
FPV,27,73,34,46,1954,1934,0
FPV,28,76,34,19,1951,1932,0
FPV,29,75,36,42,1952,1933,0
FPV,30,73,35,29,1949,1932,0
FPV,31,76,35,17,1952,1933,0
FPV,32,73,34,18,1950,1933,0
FPV,33,76,36,20,1951,1934,0
FPV,34,73,34,48,1954,1933,0
FPV,35,75,37,20,1948,1933,0
FPV,36,74,34,19,1950,1933,0
FPV,37,77,34,17,1950,1932,0
FPV,38,73,35,54,1950,1932,0
FPV,39,74,35,12,1950,1933,0
FPV,40,73,32,49,1951,1932,0
FPV,41,74,34,16,1950,1933,0
FPV,42,74,34,48,1951,1933,0
FPV,43,73,34,48,1952,1934,0
FPV,44,76,35,19,1951,1933,0
FPV,45,76,36,20,1951,1934,0
FPV,46,73,35,55,1950,1933,0
FPV,47,73,34,48,1951,1933,0
FPV,48,76,36,19,1951,1933,0
FPV,49,73,35,53,1950,1933,0
FPV,50,73,34,45,1949,1933,0
FPV,51,72,36,51,1952,1933,0
FPV,52,75,36,20,1949,1933,0
FPV,53,76,37,19,1951,1933,0
FPV,54,73,35,54,1951,1933,0
FPV,55,73,35,53,1951,1933,0
FPV,56,73,34,49,1952,1933,0
FPV,57,73,34,49,1950,1933,0
FPV,58,76,35,18,1951,1933,0
FPV,59,76,35,55,1951,1933,0
FPV,60,73,34,47,1953,1934,0
FPV,61,79,34,13,1951,1933,0
FPV,62,75,36,19,1945,1932,0
FPV,63,76,36,20,1949,1933,0
FPV,64,73,35,51,1950,1932,0
FPV,65,74,34,50,1951,1933,0
FPV,66,76,36,20,1952,1933,0
FPV,67,72,34,50,1951,1933,0
FPV,68,78,35,16,1951,1933,0
FPV,69,76,36,19,1951,1933,0
FPV,70,73,33,48,1950,1932,0
FPV,71,75,33,12,1950,1932,0
FPV,72,76,36,19,1951,1933,0
FPV,73,76,36,55,1952,1933,0
FPV,74,74,34,47,1951,1932,0
FPV,75,74,34,13,1951,1932,0
FPV,76,76,35,20,1949,1933,0
FPV,77,75,36,55,1952,1933,0
FPV,78,74,35,49,1951,1933,0
FPV,79,72,35,52,1951,1933,0
FPV,80,73,34,47,1950,1932,0
FPV,81,77,35,17,1950,1932,0
FPV,82,75,36,41,1952,1932,0
FPV,83,75,36,54,1951,1933,0
FPV,84,74,36,50,1951,1932,0
FPV,85,73,36,52,1951,1932,0
FPV,86,74,35,13,1950,1933,0
FPV,87,76,35,15,1953,1933,0
FPV,88,75,36,22,1954,1933,0
FPV,89,73,34,50,1952,1932,0
FPV,90,77,35,13,1951,1933,0
FPV,91,76,34,17,1950,1933,0
FPV,92,75,37,20,1948,1933,0
FPV,93,76,35,20,1948,1934,0
FPV,94,73,36,55,1952,1933,0
FPV,95,74,37,53,1951,1933,0
FPV,96,74,34,47,1950,1931,0
FPV,97,75,37,42,1953,1935,0
FPV,98,76,36,21,1949,1933,0
FPV,99,76,34,12,1951,1933,0
FPV,100,77,34,15,1951,1933,0
FPV,101,73,35,49,1951,1932,0
FPV,102,73,36,49,1951,1932,0
FPV,103,75,37,21,1952,1934,0
FPV,104,76,35,21,1951,1931,0
FPV,105,76,36,56,1952,1934,0
FPV,106,73,35,49,1952,1933,0
FPV,107,73,34,49,1952,1933,0
FPV,108,76,35,15,1953,1933,0
FPV,109,76,36,15,1952,1932,0
FPV,110,75,35,43,1952,1933,0
FPV,111,72,35,52,1949,1933,0
FPV,112,74,34,14,1948,1934,0
FPV,113,76,36,20,1950,1931,0
FPV,114,72,33,47,1954,1933,0
FPV,115,74,34,48,1953,1933,0
FPV,116,77,34,14,1952,1933,0
FPV,117,78,36,16,1952,1933,0
FPV,118,72,36,52,1951,1932,0
FPV,119,78,35,17,1951,1932,0
FPV,120,72,36,53,1951,1933,0
FPV,121,74,35,40,1950,1933,0
FPV,122,76,36,20,1949,1932,0
FPV,123,74,33,50,1950,1933,0
FPV,124,75,36,20,1948,1932,0
FPV,125,73,36,53,1951,1933,0
FPV,126,75,35,12,1951,1933,0
FPV,127,76,36,47,1953,1931,0
FPV,128,77,35,14,1951,1933,0
FPV,129,76,36,55,1952,1933,0
FPV,130,74,35,39,1950,1934,0
FPV,131,76,35,18,1951,1932,0
FPV,132,74,36,52,1951,1932,0
FPV,133,74,35,44,1949,1933,0
FPV,134,76,34,19,1949,1933,0
FPV,135,77,36,19,1950,1932,0
FPV,136,73,35,52,1952,1933,0
FPV,137,77,35,15,1952,1933,0
FPV,138,76,36,46,1952,1932,0
FPV,139,76,37,54,1952,1934,0
FPV,140,74,35,48,1952,1934,0
FPV,141,74,35,35,1949,1932,0
FPV,142,77,34,17,1951,1933,0
FPV,143,76,37,21,1947,1931,0
FPV,144,73,36,51,1952,1932,0
FPV,145,75,35,46,1950,1931,0
FPV,146,76,37,22,1949,1931,0
FPV,147,74,36,51,1952,1933,0
FPV,148,77,35,17,1951,1933,0
FPV,149,75,36,22,1953,1932,0
FPV,150,74,34,48,1952,1933,0
FPV,151,76,35,14,1951,1933,0
FPV,152,77,36,18,1951,1933,0
FPV,153,76,37,20,1951,1934,0
FPV,154,73,35,52,1951,1933,0
FPV,155,73,36,50,1951,1933,0
FPV,156,77,35,14,1951,1933,0
FPV,157,77,35,18,1951,1933,0
FPV,158,72,35,54,1950,1932,0
FPV,159,75,35,29,1949,1933,0
FPV,160,76,36,55,1951,1933,0
FPV,161,73,34,48,1951,1934,0
FPV,162,75,36,55,1950,1932,0
FPV,163,73,34,49,1950,1932,0
FPV,164,77,35,15,1951,1933,0
FPV,165,77,35,18,1950,1932,0
FPV,166,74,36,55,1951,1932,0
FPV,167,73,36,51,1952,1933,0
FPV,168,76,35,17,1950,1932,0
FPV,169,76,38,20,1951,1934,0
FPV,170,72,36,51,1952,1932,0
FPV,171,74,34,48,1954,1933,0
FPV,172,75,36,23,1953,1933,0
FPV,173,74,34,48,1950,1933,0
FPV,174,77,38,21,1950,1932,0
FPV,175,75,35,55,1952,1933,0
FPV,176,73,33,48,1955,1932,0
FPV,177,74,35,16,1947,1932,0
FPV,178,76,36,21,1950,1931,0
FPV,179,74,36,49,1952,1933,0
FPV,180,77,35,17,1951,1933,0
FPV,181,76,36,21,1951,1934,0
FPV,182,75,34,13,1951,1932,0
FPV,183,76,35,17,1950,1933,0
FPV,184,73,36,53,1950,1932,0
FPV,185,75,33,15,1952,1933,0
FPV,186,73,36,51,1951,1932,0
FPV,187,77,35,15,1951,1932,0
FPV,188,72,35,52,1950,1932,0
FPV,189,77,35,16,1951,1933,0
FPV,190,74,34,48,1951,1932,0
FPV,191,77,36,20,1947,1933,0
FPV,192,77,34,16,1952,1933,0
FPV,193,75,36,39,1953,1933,0
FPV,194,74,34,47,1954,1932,0
FPV,195,75,36,46,1952,1932,0
FPV,196,76,35,15,1951,1933,0
FPV,197,76,36,20,1947,1933,0
FPV,198,74,34,47,1952,1932,0
FPV,199,77,35,15,1952,1932,0
FPV,200,76,37,22,1949,1932,0
FPV,201,73,36,54,1950,1931,0
FPV,202,74,34,47,1952,1933,0
FPV,203,73,34,29,1950,1933,0
FPV,204,77,35,17,1950,1933,0
FPV,205,75,36,19,1951,1933,0
FPV,206,73,35,50,1952,1932,0
FPV,207,76,35,14,1952,1932,0
FPV,208,75,36,34,1954,1934,0
FPV,209,75,35,54,1951,1933,0
FPV,210,73,34,47,1953,1932,0
FPV,211,77,36,19,1951,1932,0
FPV,212,74,34,49,1951,1932,0
FPV,213,76,35,14,1952,1933,0
FPV,214,76,36,32,1952,1932,0
FPV,215,73,34,49,1951,1932,0
FPV,216,77,35,19,1950,1933,0
FPV,217,74,36,55,1950,1933,0
