sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
196,147,126,104,1948,1931,953
197,149,126,107,1949,1932,953
198,146,125,107,1949,1932,953
199,149,126,108,1952,1933,953
200,147,127,105,1949,1933,953
201,149,126,111,1950,1932,953
202,148,126,107,1951,1931,953
203,150,127,111,1951,1932,953
204,149,126,108,1951,1933,953
205,146,127,142,1951,1933,953
206,149,126,107,1951,1931,953
207,146,127,144,1949,1931,953
208,148,127,144,1951,1933,953
209,146,126,144,1949,1932,953
210,148,127,130,1952,1932,953
211,149,128,113,1949,1931,953
212,150,126,109,1952,1933,953
213,149,126,111,1950,1932,953
214,149,126,106,1950,1932,953
215,149,126,107,1950,1933,953
216,147,125,107,1950,1932,953
217,149,126,109,1951,1933,953
218,149,126,108,1951,1932,953
219,149,127,111,1949,1933,953
220,149,126,109,1950,1932,953
221,150,126,108,1950,1932,953
222,146,127,111,1949,1933,953
223,146,125,140,1951,1932,953
224,144,127,143,1950,1933,953
225,145,127,142,1951,1933,953
226,148,127,145,1951,1932,953
227,148,128,136,1950,1932,953
228,146,125,139,1955,1932,953
229,146,125,141,1951,1932,953
230,145,127,143,1950,1933,953
231,148,126,106,1950,1933,953
232,149,127,113,1947,1931,953
233,145,127,143,1950,1933,953
234,146,125,141,1952,1933,953
235,146,126,106,1950,1933,953
236,145,125,105,1949,1932,953
237,149,128,113,1951,1932,953
238,148,127,148,1952,1932,953
239,146,126,139,1954,1933,953
240,146,126,104,1948,1933,953
241,149,127,112,1950,1932,953
242,149,128,112,1950,1933,953
243,148,129,139,1952,1932,953
244,149,126,109,1951,1932,953
245,147,127,105,1948,1933,953
246,146,125,139,1951,1932,953
247,146,126,106,1950,1932,953
248,148,126,107,1952,1931,953
249,148,128,113,1948,1931,953
250,148,127,110,1950,1932,953
251,148,128,145,1951,1932,953
252,147,128,146,1949,1932,953
253,149,125,107,1950,1932,953
254,148,128,113,1952,1933,953
255,146,126,141,1951,1933,953
