foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_phase_capture start
FOC phase capture armed: 256 samples at 12kHz (~21.33ms), outputs remain DISABLED.
msh >
msh >
foc_phase_capture status
FOC phase capture state=complete rate=12000Hz samples=256/256 unread=256 window=21333us raw-only.
msh >
msh >
foc_phase_capture dump
FPV_HEADER,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
FPV,146,148,127,139,1950,1933,953
FPV,147,145,126,142,1950,1932,953
FPV,148,146,126,141,1952,1933,953
FPV,149,149,125,107,1952,1932,953
FPV,150,147,125,109,1951,1933,953
FPV,151,148,126,146,1951,1932,953
FPV,152,144,126,142,1950,1932,953
FPV,153,146,127,141,1950,1933,953
FPV,154,148,127,146,1954,1933,953
FPV,155,144,127,143,1949,1932,953
FPV,156,145,127,142,1950,1932,953
FPV,157,146,126,105,1947,1931,953
FPV,158,149,127,109,1952,1933,953
FPV,159,148,125,110,1950,1933,953
FPV,160,149,127,111,1951,1933,953
FPV,161,145,127,145,1949,1933,953
FPV,162,144,128,142,1950,1932,953
FPV,163,146,125,140,1951,1932,953
FPV,164,145,125,140,1951,1932,953
FPV,165,146,125,120,1950,1932,953
FPV,166,146,127,143,1951,1933,953
FPV,167,145,128,144,1949,1931,953
FPV,168,148,128,113,1949,1933,953
FPV,169,149,128,111,1950,1932,953
FPV,170,149,126,108,1952,1932,953
FPV,171,149,128,112,1951,1933,953
FPV,172,148,126,108,1952,1933,953
FPV,173,149,127,111,1950,1932,953
FPV,174,147,126,107,1951,1932,953
FPV,175,145,127,139,1955,1931,953
FPV,176,147,124,141,1951,1932,953
FPV,177,145,125,139,1955,1931,953
FPV,178,147,128,146,1954,1934,953
FPV,179,148,128,146,1951,1931,953
FPV,180,149,128,113,1951,1932,953
FPV,181,147,125,141,1951,1933,953
FPV,182,146,125,106,1948,1933,953
FPV,183,150,128,112,1951,1933,953
FPV,184,149,129,111,1949,1931,953
FPV,185,148,128,148,1952,1932,953
FPV,186,148,128,148,1952,1932,953
FPV,187,147,127,106,1947,1933,953
FPV,188,149,127,108,1952,1933,953
FPV,189,150,128,112,1950,1931,953
FPV,190,150,127,110,1951,1933,953
FPV,191,149,129,114,1951,1932,953
FPV,192,149,129,114,1951,1932,953
FPV,193,146,127,142,1951,1932,953
FPV,194,146,126,141,1950,1932,953
FPV,195,150,127,110,1952,1932,953
FPV,196,147,126,104,1948,1931,953
FPV,197,149,126,107,1949,1932,953
FPV,198,146,125,107,1949,1932,953
FPV,199,149,126,108,1952,1933,953
FPV,200,147,127,105,1949,1933,953
FPV,201,149,126,111,1950,1932,953
FPV,202,148,126,107,1951,1931,953
FPV,203,150,127,111,1951,1932,953
FPV,204,149,126,108,1951,1933,953
FPV,205,146,127,142,1951,1933,953
