divider_mode,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
off,174,394,352,335,1949,1933,0
off,175,394,347,331,1951,1933,0
off,176,390,349,365,1951,1932,0
off,177,393,351,332,1950,1933,0
off,178,389,349,366,1950,1932,0
off,179,390,348,357,1951,1931,0
off,180,392,349,331,1951,1933,0
off,181,388,350,365,1951,1931,0
off,182,391,349,330,1949,1931,0
off,183,392,347,332,1950,1932,0
off,184,389,349,365,1949,1932,0
off,185,391,347,331,1950,1933,0
off,186,390,347,365,1950,1932,0
off,187,390,348,342,1952,1934,0
off,188,389,347,363,1951,1932,0
off,189,391,348,331,1951,1932,0
off,190,389,347,361,1953,1933,0
off,191,387,346,365,1950,1932,0
off,192,386,344,349,1948,1931,0
off,193,385,346,363,1950,1931,0
off,194,392,347,329,1951,1933,0
off,195,385,343,359,1951,1933,0
off,196,390,345,327,1952,1932,0
off,197,387,346,361,1953,1933,0
off,198,387,344,360,1954,1933,0
off,199,385,344,362,1953,1934,0
off,200,385,343,358,1952,1934,0
off,201,388,345,363,1951,1933,0
off,202,390,345,327,1951,1932,0
off,203,385,343,360,1950,1932,0
off,204,388,344,360,1950,1931,0
off,205,387,343,326,1949,1932,0
off,206,386,344,359,1951,1932,0
off,207,387,344,353,1953,1933,0
off,208,385,342,359,1950,1932,0
off,209,387,341,325,1950,1932,0
off,210,385,343,325,1950,1932,0
off,211,385,342,360,1952,1934,0
off,212,384,341,353,1951,1932,0
off,213,380,340,357,1951,1933,0
off,214,382,339,354,1952,1933,0
off,215,384,338,322,1950,1932,0
off,216,384,341,323,1951,1933,0
off,217,381,340,356,1949,1932,0
off,218,380,339,355,1952,1933,0
off,219,381,339,333,1948,1932,0
off,220,382,337,320,1951,1933,0
off,221,383,339,323,1950,1932,0
off,222,383,339,323,1945,1932,0
off,223,379,338,356,1951,1933,0
off,224,381,337,354,1954,1934,0
off,225,379,337,353,1951,1932,0
off,226,380,336,318,1946,1931,0
off,227,383,338,322,1945,1933,0
off,228,381,338,357,1952,1933,0
off,229,382,336,318,1951,1932,0
off,230,382,337,321,1952,1933,0
off,231,379,338,354,1951,1933,0
off,232,378,336,352,1951,1932,0
off,233,378,336,332,1949,1932,0
off,234,378,334,317,1952,1932,0
off,235,381,336,321,1949,1932,0
off,236,379,336,320,1950,1932,0
off,237,378,335,351,1952,1933,0
off,238,380,335,318,1951,1932,0
off,239,381,337,349,1951,1932,0
off,240,377,335,352,1951,1932,0
off,241,378,335,323,1948,1932,0
off,242,380,335,319,1950,1933,0
off,243,378,339,354,1952,1933,0
off,244,377,334,350,1951,1933,0
off,245,377,333,323,1948,1931,0
off,246,379,333,316,1950,1931,0
off,247,375,332,350,1951,1934,0
off,248,376,332,314,1948,1933,0
off,249,379,336,319,1948,1931,0
off,250,375,333,349,1951,1933,0
off,251,379,333,316,1950,1932,0
off,252,376,333,318,1947,1933,0
off,253,375,332,347,1954,1933,0
off,254,376,331,316,1950,1932,0
off,255,374,330,348,1951,1933,0
