foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >FOC alive flags=0x0004231f sync=61205 steps=0 errors=0 Vbus=0mV.
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_phase_capture start off
FOC phase capture armed: divider=off, 256 samples at 12kHz (~21.33ms), outputs remain DISABLED.
msh >
msh >
foc_phase_capture status
FOC phase capture state=complete capture-divider=off rate=12000Hz samples=256/256 unread=256 window=21333us raw-only.
FOC phase model source=st-ihm16m1-nominal quality=nominal-not-calibrated observer=disabled Vref=3300mV divider=10000/2200 ohm full-scale=18300mV scale=4469uV/count.
msh >
msh >
foc_phase_capture dump
FPV_META,divider=off
FPV_MODEL,source=st-ihm16m1-nominal,quality=nominal-not-calibrated,observer=disabled,vref_mv=3300,adc_max=4095,upper_ohm=10000,lower_ohm=2200,full_scale_mv=18300,uv_per_count=4469
FPV_HEADER,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
FPV,134,394,352,366,1954,1933,0
FPV,135,396,352,335,1951,1933,0
FPV,136,392,353,371,1950,1933,0
FPV,137,393,351,333,1948,1932,0
FPV,138,395,352,335,1951,1932,0
FPV,139,391,350,366,1952,1932,0
FPV,140,396,351,335,1949,1932,0
FPV,141,392,351,355,1952,1932,0
FPV,142,397,351,335,1951,1932,0
FPV,143,392,350,366,1950,1932,0
FPV,144,396,351,334,1951,1933,0
FPV,145,391,351,367,1950,1932,0
FPV,146,393,350,367,1950,1933,0
FPV,147,396,353,371,1951,1931,0
FPV,148,391,349,331,1948,1931,0
FPV,149,392,351,367,1951,1933,0
FPV,150,394,352,333,1949,1932,0
FPV,151,393,350,366,1951,1933,0
FPV,152,397,350,335,1950,1933,0
FPV,153,391,351,368,1950,1933,0
FPV,154,393,348,330,1948,1931,0
FPV,155,394,352,368,1950,1933,0
FPV,156,392,349,330,1950,1932,0
FPV,157,395,353,336,1950,1933,0
FPV,158,393,350,348,1951,1932,0
FPV,159,394,354,364,1951,1931,0
FPV,160,394,350,334,1950,1932,0
FPV,161,391,351,367,1951,1933,0
FPV,162,391,347,364,1951,1933,0
FPV,163,394,353,335,1949,1932,0
FPV,164,393,351,368,1951,1933,0
FPV,165,393,351,331,1950,1933,0
FPV,166,395,352,335,1950,1931,0
FPV,167,394,354,369,1951,1933,0
FPV,168,392,349,366,1949,1932,0
FPV,169,397,354,336,1950,1932,0
FPV,170,391,351,367,1950,1932,0
FPV,171,394,351,335,1950,1933,0
FPV,172,395,349,331,1951,1931,0
FPV,173,392,349,366,1950,1932,0
FPV,174,394,352,335,1949,1933,0
FPV,175,394,347,331,1951,1933,0
FPV,176,390,349,365,1951,1932,0
FPV,177,393,351,332,1950,1933,0
FPV,178,389,349,366,1950,1932,0
FPV,179,390,348,357,1951,1931,0
FPV,180,392,349,331,1951,1933,0
FPV,181,388,350,365,1951,1931,0
FPV,182,391,349,330,1949,1931,0
FPV,183,392,347,332,1950,1932,0
FPV,184,389,349,365,1949,1932,0
FPV,185,391,347,331,1950,1933,0
FPV,186,390,347,365,1950,1932,0
FPV,187,390,348,342,1952,1934,0
FPV,188,389,347,363,1951,1932,0
FPV,189,391,348,331,1951,1932,0
FPV,190,389,347,361,1953,1933,0
FPV,191,387,346,365,1950,1932,0
FPV,192,386,344,349,1948,1931,0
FPV,193,385,346,363,1950,1931,0
FPV,194,392,347,329,1951,1933,0
FPV,195,385,343,359,1951,1933,0
FPV,196,390,345,327,1952,1932,0
FPV,197,387,346,361,1953,1933,0
FPV,198,387,344,360,1954,1933,0
FPV,199,385,344,362,1953,1934,0
FPV,200,385,343,358,1952,1934,0
FPV,201,388,345,363,1951,1933,0
FPV,202,390,345,327,1951,1932,0
FPV,203,385,343,360,1950,1932,0
FPV,204,388,344,360,1950,1931,0
FPV,205,387,343,326,1949,1932,0
FPV,206,386,344,359,1951,1932,0
FPV,207,387,344,353,1953,1933,0
FPV,208,385,342,359,1950,1932,0
FPV,209,387,341,325,1950,1932,0
FPV,210,385,343,325,1950,1932,0
FPV,211,385,342,360,1952,1934,0
FPV,212,384,341,353,1951,1932,0
FPV,213,380,340,357,1951,1933,0
FPV,214,382,339,354,1952,1933,0
FPV,215,384,338,322,1950,1932,0
FPV,216,384,341,323,1951,1933,0
FPV,217,381,340,356,1949,1932,0
FPV,218,380,339,355,1952,1933,0
FPV,219,381,339,333,1948,1932,0
FPV,220,382,337,320,1951,1933,0
FPV,221,383,339,323,1950,1932,0
FPV,222,383,339,323,1945,1932,0
FPV,223,379,338,356,1951,1933,0
FPV,224,381,337,354,1954,1934,0
FPV,225,379,337,353,1951,1932,0
FPV,226,380,336,318,1946,1931,0
FPV,227,383,338,322,1945,1933,0
FPV,228,381,338,357,1952,1933,0
FPV,229,382,336,318,1951,1932,0
FPV,230,382,337,321,1952,1933,0
FPV,231,379,338,354,1951,1933,0
FPV,232,378,336,352,1951,1932,0
FPV,233,378,336,332,1949,1932,0
FPV,234,378,334,317,1952,1932,0
FPV,235,381,336,321,1949,1932,0
FPV,236,379,336,320,1950,1932,0
FPV,237,378,335,351,1952,1933,0
FPV,238,380,335,318,1951,1932,0
FPV,239,381,337,349,1951,1932,0
FPV,240,377,335,352,1951,1932,0
FPV,241,378,335,323,1948,1932,0
FPV,242,380,335,319,1950,1933,0
FPV,243,378,339,354,1952,1933,0
FPV,244,377,334,350,1951,1933,0
FPV,245,377,333,323,1948,1931,0
FPV,246,379,333,316,1950,1931,0
FPV,247,375,332,350,1951,1934,0
FPV,248,376,332,314,1948,1933,0
FPV,249,379,336,319,1948,1931,0
FPV,250,375,333,349,1951,1933,0
FPV,251,379,333,316,1950,1932,0
FPV,252,376,333,318,1947,1933,0
FPV,253,375,332,347,1954,1933,0
FPV,254,376,331,316,1950,1932,0
FPV,255,374,330,348,1951,1933,0
msh >
msh >
foc_status
FOC state=uninitialized observer=rust-smo-pll reliable=0 closed=0 target=0rpm estimate=0rpm.
FOC Iref d/q=0/0mA I d/q=0/0mA V d/q=0/0mV.
FOC observer bemf a/b=0/0mV pllerr=0mrad speed mean/var=0/0 gate=0x00 streak=0 wait/loss=0/0ms vlim=0.
FOC flags=0x0004231f steps=0 errors=0 ISRmax=0/12500 cycles misses=0 peak=0 (~0mA).
FOC timing independent peaks pre/control/post=0/0/0 cycles; do not sum.
FOC rates PWM/control=12000/12000Hz ratio=1 delay=1 PWM ticks ADC trigger=1.
FOC sync interval last/min/avg/max=0/0/0/0 cycles (0 samples); monitor ISR=0/0/0 cycles.
FOC WCET step=0 total=0 pre/control/post=0/0/0 trace=0/0 samples=0 invalid=0.
FTIMING,1,0,0,0,0,0,0,0,0,0,0,0,0,12500,0,0,0,271135
FOC last status=0 rust_fault=0x00000000 duty=0/0/0 per-mille.
FOC boot-profile status=0 rev=1 board=0x43116001 motor=0x28041007 approvals=0x00 runtime/record CRC=0x8c7a8df4/0xd9f996c3.
FOC ADC U/V/W=1948/1933/1957 offsets=1952/1933/1953 Vbus=0 (~0mV) Pot=2049.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
